,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
25025,Non-Fatal,4267,2,500,5220,1.0,0,2,5,1982,6,29,0.0,2.0,0.0,2,0
25026,Non-Fatal,1837,2,500,204,1.0,0,2,2,1987,6,13,0.0,2.0,0.0,2,0
25027,Non-Fatal,11024,2,500,6156,1.0,0,2,2,1983,7,4,0.0,2.0,0.0,2,0
25028,Non-Fatal,3673,2,500,210,1.0,0,2,6,1990,8,7,1.0,4.0,0.0,4,0
25029,Non-Fatal,10901,2,500,6309,1.0,0,2,4,1990,8,7,1.0,1.0,0.0,1,0
25030,Non-Fatal,8802,2,500,288,1.0,0,2,5,1983,7,4,0.0,2.0,0.0,2,0
25031,Non-Fatal,6102,2,500,644,2.0,0,2,10,1983,12,12,0.0,4.0,0.0,4,0
25032,Non-Fatal,3227,2,500,212,1.0,0,0,0,1984,12,29,1.0,1.0,0.0,1,0
25033,Fatal,4426,0,500,209,1.0,0,0,9,1984,12,29,3.0,3.0,100.0,0,0
25034,Non-Fatal,7845,2,500,108,1.0,0,2,5,1990,8,4,0.0,1.0,0.0,1,0
25035,Non-Fatal,10585,2,500,138,1.0,0,2,11,1990,8,4,0.0,1.0,0.0,1,0
25036,Non-Fatal,13700,2,500,390,1.0,0,2,0,1984,6,4,0.0,5.0,0.0,5,0
25037,Non-Fatal,950,2,500,139,1.0,0,2,5,1983,7,3,0.0,2.0,0.0,2,0
